id,age_of_acquisition,word,concept
993,7.22,braid,BRAID [1043]
994,7.22,thief,THIEF [1160]
995,7.22,ripen,RIPEN [179]
996,7.22,loosen,LOOSEN [1933]
997,7.22,annoy,MAKE ANGRY (ANNOY) [2892]
998,7.22,generous,GENEROUS [3632]
999,7.22,spear,SPEAR [945]
1000,7.21,dive,DIVE [119]
1001,7.21,swear,SWEAR [1939]
1002,7.21,wrinkle,WRINKLE [2294]
1003,7.21,familiar,FAMILIAR [3005]
1004,7.2,damage,DAMAGE (INJURY) [2947]
1005,7.2,excitement,EXCITEMENT [3846]
1006,7.2,decide,DECIDE [685]
1007,7.2,soot,SOOT [830]
1008,7.19,gravel,GRAVEL [3028]
1009,7.18,flock,FLOCK (OF ANIMALS) [2939]
1010,7.17,armor,ARMOUR [1061]
1011,7.17,uncover,UNCOVER [1108]
1012,7.17,raw,RAW [1959]
1013,7.17,rescue,RESCUE [2008]
1014,7.17,lean,LEAN (MEAT) [2219]
1015,7.17,marriage,MARRIAGE [2432]
1016,7.17,riddle,RIDDLE [2970]
1017,7.17,tank,TANK [3102]
1018,7.17,stubborn,STUBBORN [3634]
1019,7.17,serve,SERVE (SOMEONE) [3648]
1020,7.17,chimp,CHIMPANZEE [3734]
1021,7.17,earring,EARRING [770]
1022,7.17,awaken,AWAKE [825]
1023,7.17,fountain,SPRING (OF WATER) [849]
1024,7.16,divide,DIVIDE [1119]
1025,7.16,demon,DEMON [1973]
1026,7.16,future,FUTURE [2427]
1027,7.16,limp,LIMP [366]
1028,7.16,market,MARKET [633]
1029,7.16,lung,LUNG [688]
1030,7.16,altar,ALTAR [853]
1031,7.15,mumble,MUMBLE [128]
1032,7.15,army,ARMY [1561]
1033,7.15,duty,OBLIGATION (DUTY) [3471]
1034,7.14,crowd,CROWD [2023]
1035,7.14,drill,DRILL [3423]
1036,7.116905,lighter,LIGHTER [3092]
1037,7.11,rude,RUDE [1412]
1038,7.11,razor,RAZOR [151]
1039,7.11,ripe,RIPE [178]
1040,7.11,cheap,CHEAP [1887]
1041,7.11,ashamed,ASHAMED [1894]
1042,7.11,bait,BAIT [2013]
1043,7.11,hammock,HAMMOCK [2019]
1044,7.11,plow,PLOUGH (INSTRUMENT) [2154]
1045,7.11,peak,PEAK [2205]
1046,7.11,shrimp,SHRIMP [2349]
1047,7.11,escalator,ESCALATOR [2596]
1048,7.11,operate,OPERATE (MEDICINE) [3121]
1049,7.11,foggy,FOGGY [3759]
1050,7.11,eggshell,EGGSHELL [3857]
1051,7.11,honeycomb,HONEYCOMB [3947]
1052,7.11,spirit,SPIRIT [53]
1053,7.11,vinegar,VINEGAR [985]
1054,7.1,gold,GOLD [1369]
1055,7.1,priest,PRIEST [852]
1056,7.06362,ashes,ASH [646]
1057,7.06362,while,WHILE [726]
1058,7.06,thread,THREAD [1161]
1059,7.06,grave,GRAVE [1773]
1060,7.06,wreath,WREATH [2589]
1061,7.06,sole,SOLE (FOOT) [2666]
1062,7.06,bundle,BUNDLE [2943]
1063,7.06,shrink,SHRINK [54]
1064,7.06,religion,RELIGION [661]
1065,7.05,country,COUNTRY [1300]
1066,7.05,sell,SELL [1571]
1067,7.05,elk,ELK [1772]
1068,7.05,patient,PATIENT (SICK PERSON) [3375]
1069,7.010335,bud,BUD [1684]
1070,7.010335,just,JUST [84]
1071,7,wrap,WRAP [1113]
1072,7,niece,NIECE [1642]
1073,7,blind,BLIND [1653]
1074,7,decorate,DECORATE [1739]
1075,7,row,ROW [1849]
1076,7,anthill,ANTHILL [1873]
1077,7,drown,DROWN [1904]
1078,7,shallow,SHALLOW [193]
1079,7,worship,WORSHIP [257]
1080,7,whip,WHIP [2630]
1081,7,net,NET [2963]
1082,7,turnip,TURNIP [3062]
1083,7,hatch,HATCH (OUT) [3116]
1084,7,hippopotamus,HIPPOPOTAMUS [3145]
1085,7,dip,DIP [3697]
1086,7,explode,EXPLODE [3976]
1087,7,pliers,PLIERS [4003]
1088,7,dawn,DAWN [729]
1089,6.95705,guts,GUTS [1334]
1090,6.95705,enough,ENOUGH [1881]
1091,6.95705,yet,YET [2577]
1092,6.95,hummingbird,HUMMINGBIRD [1589]
1093,6.95,rotten,ROTTEN [1728]
1094,6.95,borrow,BORROW [1823]
1095,6.95,fade,FADE (LOOSE COLOR) [2704]
1096,6.95,cloak,CLOAK [326]
1097,6.95,vine,VINE [343]
1098,6.95,telescope,TELESCOPE [4012]
1099,6.95,battle,BATTLE [579]
1100,6.95,kneel,KNEEL [66]
1101,6.95,rodent,RODENT [669]
1102,6.95,weapon,WEAPONS [951]
1103,6.94,common,COMMON COLD (DISEASE) [102]
1104,6.94,orphan,ORPHAN [1149]
1105,6.94,fault,FAULT [134]
1106,6.94,east,EAST [1877]
1107,6.94,soldier,SOLDIER [1941]
1108,6.925079,shore,SHORE [113]
1109,6.903765,cape,CAPE [1662]
1110,6.9,hoof,HOOF [152]
1111,6.9,grapefruit,GRAPEFRUIT OR POMELO [3804]
1112,6.89,arise,RISE (ONESELF) [1512]
1113,6.89,flour,FLOUR [1594]
1114,6.89,whole,WHOLE [2277]
1115,6.89,garlic,GARLIC [2368]
1116,6.89,porcupine,PORCUPINE [2510]
1117,6.89,meadow,GRASSLAND [2819]
1118,6.89,pattern,PATTERN [2988]
1119,6.89,seedling,SEEDLING [3050]
1120,6.89,pitchfork,PITCHFORK [337]
1121,6.89,wander,WANDER [3666]
1122,6.89,rear,BACK OF HEAD [523]
1123,6.89,president,PRESIDENT [899]
1124,6.85,birthmark,BIRTHMARK [1751]
1125,6.85,border,BORDER [2546]
1126,6.84,fishhook,FISHHOOK [1074]
1127,6.84,leopard,LEOPARD [1139]
1128,6.84,company,COMPANIONSHIP [2983]
1129,6.84,bloom,BLOOM [3287]
1130,6.83,manner,MANNER [488]
1131,6.83,willow,WILLOW [818]
1132,6.83,deaf,DEAF [996]
1133,6.829166,peg,PEG [361]
1134,6.81,distance,DISTANCE [2978]
1135,6.81,odor,ODOR (SMELL) [3704]
1136,6.807852,sort,KIND (THING) [844]
1137,6.8,dragonfly,DRAGONFLY [2352]
1138,6.8,miracle,MIRACLE [2541]
1139,6.8,tile,TILE [3404]
1140,6.797195,straight,STRAIGHT [1404]
1141,6.79,language,LANGUAGE [1307]
1142,6.79,invite,INVITE [1611]
1143,6.79,asparagus,ASPARAGUS [2605]
1144,6.79,protect,PROTECT [2900]
1145,6.79,weed,WEED [3288]
1146,6.79,pound,POUND [354]
1147,6.79,nervous,NERVOUS [3975]
1148,6.79,wise,WISE [698]
1149,6.79,raccoon,RACCOON [828]
1150,6.79,tin,TIN (METAL) [893]
1151,6.78,hare,HARE [1190]
1152,6.78,bedbug,BEDBUG [1949]
1153,6.78,plan,PLAN [3630]
1154,6.78,criminal,CRIMINAL [3875]
1155,6.78,period,PERIOD [508]
1156,6.78,dreadful,DREADFUL [528]
1157,6.78,rattlesnake,RATTLESNAKE [871]
1158,6.775881,crane,CRANE [1830]
1159,6.765224,immediately,IMMEDIATELY [1963]
1160,6.76,pregnant,PREGNANT [1123]
1161,6.76,lead,LEAD (GUIDE) [43]
1162,6.75,apron,APRON [2046]
1163,6.74391,then,THEN [2921]
1164,6.74391,hawk,HAWK [307]
1165,6.74,cave,CAVE [1155]
1166,6.74,postcard,POSTCARD [1497]
1167,6.74,seem,SEEM [1521]
1168,6.74,chop,CHOP [155]
1169,6.74,blister,BLISTER [1584]
1170,6.74,volcano,VOLCANO [2291]
1171,6.74,joy,JOY [2524]
1172,6.74,sin,SIN [2971]
1173,6.74,vacuum,VACUUM (SOMETHING) [3135]
1174,6.74,ignore,IGNORE [41]
1175,6.733883,smoking,SMOKE (INHALE) [1689]
1176,6.722596,FALSE,FALSE [3069]
1177,6.72,raise,RAISE (BRING UP) [2134]
1178,6.72,cactus,CACTUS [2595]
1179,6.72,slippery,SLIPPERY [3702]
1180,6.72,blond,BLOND [3872]
1181,6.72,toaster,TOASTER [4010]
1182,6.72,rise,RISE (MOVE UPWARDS) [568]
1183,6.72,blade,BLADE [869]
1184,6.71,headache,HEADACHE [3625]
1185,6.71,evil,EVIL [45]
1186,6.701282,buffalo,BUFFALO [934]
1187,6.7,bullet,BULLET [1114]
1188,6.7,rush,BOLT (MOVE IN HASTE) [2860]
1189,6.7,destroy,DESTROY [681]
1190,6.690625,ninety,NINETY [1724]
1191,6.690625,robin,ROBIN [2402]
1192,6.68,olive,OLIVE [1154]
1193,6.68,office,OFFICE [2430]
1194,6.68,skeleton,SKELETON [2668]
1195,6.68,hang,HANG [2884]
1196,6.68,ski,SKI [2991]
1197,6.68,photograph,PHOTOGRAPH (SOMETHING) [3123]
1198,6.68,stocking,STOCKING [329]
1199,6.68,direction,DIRECTION [3427]
1200,6.68,punish,PUNISH [3649]
1201,6.68,tide,TIDE [891]
1202,6.68,coyote,COYOTE [912]
1203,6.679968,instead,INSTEAD [1652]
1204,6.67,appear,EMERGE (APPEAR) [1076]
1205,6.67,curved,CURVED [1698]
1206,6.67,shepherd,SHEPHERD [2544]
1207,6.67,worker,WORKER [2977]
1208,6.67,suit,SUIT [764]
1209,6.65,screw,SCREW [1802]
1210,6.65,coal,COAL [2658]
1211,6.65,scab,SCAB [2664]
1212,6.65,watery,WATERY [3545]
1213,6.65,thunderbolt,THUNDERY [3760]
1214,6.65,blouse,BLOUSE [4018]
1215,6.64,curious,CURIOUS [3633]
1216,6.63734,across,ACROSS [2670]
1217,6.63,separate,SEPARATE [1359]
1218,6.63,surprised,SURPRISED [1572]
1219,6.63,dare,DARE [1779]
1220,6.63,dove,DOVE [1853]
1221,6.63,canoe,CANOE [1970]
1222,6.63,calf,CALF [1989]
1223,6.63,deliver,DELIVER [2033]
1224,6.63,dough,DOUGH [273]
1225,6.63,amount,AMOUNT [2987]
1226,6.63,thermometer,THERMOMETER [3104]
1227,6.63,disobedient,DISOBEDIENT [3813]
1228,6.63,beverage,BEVERAGE [731]
1229,6.62,weigh,WEIGH [1098]
1230,6.61,firewood,FIREWOOD [10]
1231,6.61,worry,WORRY [150]
1232,6.61,hyena,HYENA [1799]
1233,6.61,lime,LIME (MATERIAL) [2540]
1234,6.61,cuckoo,CUCKOO [2934]
1235,6.61,fetch,FETCH [3551]
1236,6.61,catfish,CATFISH [3777]
1237,6.61,jellyfish,JELLYFISH [4017]
1238,6.61,possum,POSSUM [470]
1239,6.61,chili,CHILI PEPPER [919]
1240,6.6,breast,BREAST [1402]
1241,6.6,escape,ESCAPE [1615]
1242,6.6,thousand,THOUSAND [1843]
1243,6.6,boil,BOIL [2493]
1244,6.6,sermon,SERMON [3167]
1245,6.6,electricity,ELECTRICITY [59]
1246,6.584055,which,WHICH [727]
1247,6.58,chimney,CHIMNEY [1305]
1248,6.58,study,STUDY [1929]
1249,6.58,paddle,PADDLE [234]
1250,6.58,vehicle,VEHICLE [2549]
1251,6.58,beef,BEEF [2570]
1252,6.58,area,AREA [2980]
1253,6.58,type,TYPE (ON SOMETHING) [3134]
1254,6.58,movement,MOVEMENT [3695]
1255,6.58,flood,HIGH TIDE [613]
1256,6.58,bright,BRIGHT [679]
1257,6.58,attack,ATTACK [722]
1258,6.57,center,CENTER [491]
1259,6.56,collar,COLLAR [2012]
1260,6.56,city,CITY [2547]
1261,6.56,bulb,BULB [2617]
1262,6.56,pouch,POUCH [2951]
1263,6.55,main,MAIN [1078]
1264,6.55,north,NORTH [1598]
1265,6.55,shame,SHAME [1776]
1266,6.55,quilt,QUILT [2048]
1267,6.55,chestnut,CHESTNUT [2318]
1268,6.55,trust,TRUST (SOMEBODY) [3902]
1269,6.53077,hunter,HUNTER [1053]
1270,6.53077,without,WITHOUT [1478]
1271,6.53077,forty,FORTY [1716]
1272,6.53077,often,OFTEN [1852]
1273,6.53,wheat,WHEAT [1077]
1274,6.53,cattle,CATTLE [1153]
1275,6.53,machine,MACHINE [144]
1276,6.53,active,ACTIVE [1861]
1277,6.53,soak,SOAK (VERB) [2069]
1278,6.53,weight,WEIGHT [2466]
1279,6.53,tambourine,TAMBOURINE [3141]
1280,6.53,luck,GOOD LUCK [720]
1281,6.53,parakeet,PARAKEET [886]
1282,6.5,shield,SHIELD [1064]
1283,6.5,explain,EXPLAIN [1626]
1284,6.5,woodpecker,WOODPECKER [2447]
1285,6.5,globe,GLOBE [2588]
1286,6.5,dribble,DRIBBLE [268]
1287,6.5,bother,BOTHER (HARASS) [2869]
1288,6.5,handsome,HANDSOME [3814]
1289,6.5,master,MASTER [383]
1290,6.5,pirate,PIRATE [4015]
1291,6.5,gather,GATHER [7]
1292,6.5,waste,WASTE [79]
1293,6.5,coconut,COCONUT [970]
1294,6.48,blame,BLAME [381]
1295,6.47,eel,FRESHWATER EEL [1013]
1296,6.47,character,CHARACTER [1024]
1297,6.47,activity,WORK (ACTIVITY) [1086]
1298,6.47,equal,EQUAL [1570]
1299,6.47,relative,RELATIVES [1644]
1300,6.47,dustpan,DUSTPAN [2051]
1301,6.47,thin,THIN [2308]
1302,6.47,bit,A LITTLE [2924]
1303,6.47,million,ONE MILLION [3533]
1304,6.47,greet,GREET [3552]
1305,6.47,diamond,DIAMOND [3878]
1306,6.47,sail,SAIL [787]
1307,6.47,stream,STREAM [947]
1308,6.46,twist,TWIST [430]
1309,6.45,cranberry,CRANBERRY [3840]
1310,6.44,trap,TRAP (PITFALL) [1075]
